# Allocations	Memory	CPU Time	Min	Max
10000	10502144	0.070000	0.070000	0.080000
20000	20971520	0.300000	0.300000	0.310000
30000	31424512	0.700000	0.690000	0.700000
40000	41943040	1.240000	1.240000	1.250000
50000	52379648	1.950000	1.940000	1.950000
60000	62947328	2.780000	2.770000	2.790000
70000	73351168	3.760000	3.750000	3.900000
80000	83804160	4.880000	4.870000	4.900000
90000	94355456	6.130000	6.130000	6.160000
100000	104890368	7.550000	7.540000	7.560000
110000	115441664	9.120000	9.110000	9.120000
120000	125861888	10.870000	10.860000	10.870000
130000	136396800	12.740000	12.730000	12.790000
140000	146898944	14.730000	14.720000	14.920000
150000	157286400	16.870000	16.860000	17.080000
160000	167755776	19.170000	19.160000	19.190000
170000	178274304	21.660000	21.640000	21.850000
180000	188858368	24.390000	24.350000	24.420000
190000	199311360	27.080000	27.050000	27.260000
200000	209862656	29.980000	29.950000	30.150000
210000	220282880	33.060000	33.030000	33.310000
220000	230719488	36.190000	36.150000	36.360000
230000	241254400	39.510000	39.470000	39.890000
240000	251756544	43.010000	42.950000	43.190000
250000	262242304	46.650000	46.580000	46.950000
