# Allocations	Memory	CPU Time	Min	Max
10000	2433024	0.000000	0.000000	0.000000
20000	2433024	0.000000	0.000000	0.000000
30000	2433024	0.000000	0.000000	0.000000
40000	2433024	0.000000	0.000000	0.000000
50000	2433024	0.000000	0.000000	0.000000
60000	2433024	0.000000	0.000000	0.000000
70000	2433024	0.000000	0.000000	0.000000
80000	2433024	0.000000	0.000000	0.000000
90000	2433024	0.000000	0.000000	0.000000
100000	2433024	0.000000	0.000000	0.000000
110000	2433024	0.000000	0.000000	0.000000
120000	2433024	0.000000	0.000000	0.010000
130000	2433024	0.000000	0.000000	0.010000
140000	2433024	0.000000	0.000000	0.010000
150000	2433024	0.000000	0.000000	0.010000
160000	2433024	0.010000	0.000000	0.010000
170000	2433024	0.010000	0.000000	0.010000
180000	2433024	0.010000	0.000000	0.010000
190000	2433024	0.010000	0.000000	0.010000
200000	2433024	0.010000	0.010000	0.010000
210000	2433024	0.010000	0.010000	0.010000
220000	2433024	0.010000	0.010000	0.010000
230000	2433024	0.010000	0.010000	0.010000
240000	2433024	0.010000	0.010000	0.010000
250000	2433024	0.010000	0.010000	0.010000
