# Allocations	Memory	CPU Time	Min	Max
10000	1933312	0.000000	0.000000	0.000000
20000	3833856	0.030000	0.030000	0.040000
30000	5750784	0.090000	0.090000	0.100000
40000	7651328	0.200000	0.200000	0.200000
50000	9584640	0.340000	0.340000	0.350000
60000	11452416	0.520000	0.510000	0.520000
70000	13352960	0.720000	0.720000	0.730000
80000	15237120	0.960000	0.950000	0.960000
90000	17088512	1.210000	1.210000	1.220000
100000	18939904	1.500000	1.500000	1.500000
110000	20856832	1.820000	1.810000	1.820000
120000	22724608	2.180000	2.170000	2.180000
130000	24625152	2.550000	2.550000	2.560000
140000	26525696	2.970000	2.970000	2.980000
150000	28459008	3.430000	3.420000	3.600000
160000	30375936	3.900000	3.890000	3.900000
170000	32292864	4.420000	4.410000	4.600000
180000	34193408	4.980000	4.970000	4.990000
190000	36110336	5.570000	5.550000	5.600000
200000	37994496	6.180000	6.150000	6.240000
210000	39911424	6.790000	6.770000	6.840000
220000	41779200	7.480000	7.450000	7.590000
230000	43679744	8.240000	8.170000	8.340000
240000	45613056	9.010000	8.950000	9.140000
250000	47513600	9.830000	10.000000	9.960000
