# Allocations	Memory	CPU Time	Min	Max
10000	10682368	0.060000	0.060000	0.070000
20000	21381120	0.270000	0.270000	0.280000
30000	32063488	0.610000	0.610000	0.610000
40000	42795008	1.080000	1.070000	1.080000
50000	53460992	1.670000	1.660000	1.670000
60000	64258048	2.390000	2.380000	2.540000
70000	74891264	3.230000	3.220000	3.250000
80000	85540864	4.200000	4.190000	4.220000
90000	96321536	5.300000	5.290000	5.310000
100000	107102208	6.520000	6.510000	7.180000
110000	117866496	7.870000	7.850000	8.040000
120000	128516096	9.340000	9.330000	9.370000
130000	139280384	10.940000	10.920000	10.990000
140000	149979136	12.660000	12.640000	12.710000
150000	160579584	14.510000	14.500000	14.550000
160000	171278336	16.490000	16.480000	16.610000
170000	182026240	18.600000	18.580000	18.650000
180000	192856064	20.850000	20.810000	20.920000
190000	203522048	23.360000	23.190000	23.630000
200000	214302720	25.940000	25.720000	26.180000
210000	224919552	28.700000	28.540000	28.890000
220000	235569152	31.760000	31.490000	32.000000
230000	246300672	35.080000	34.650000	35.610000
240000	257032192	38.950000	38.360000	39.330000
250000	267763712	43.550000	42.820000	45.160000
