# Allocations	Memory	CPU Time	Min	Max
10000	10407936	0.000000	0.000000	0.000000
20000	20815872	0.010000	0.010000	0.010000
30000	31223808	0.020000	0.020000	0.020000
40000	41631744	0.040000	0.030000	0.040000
50000	51904512	0.040000	0.040000	0.050000
60000	62447616	0.060000	0.050000	0.060000
70000	72720384	0.070000	0.060000	0.070000
80000	82993152	0.080000	0.070000	0.080000
90000	93536256	0.090000	0.080000	0.090000
100000	103944192	0.100000	0.100000	0.100000
110000	114352128	0.110000	0.110000	0.110000
120000	124760064	0.120000	0.120000	0.130000
130000	135168000	0.130000	0.130000	0.140000
140000	145575936	0.140000	0.140000	0.150000
150000	155848704	0.150000	0.150000	0.160000
160000	166256640	0.170000	0.160000	0.170000
170000	176664576	0.170000	0.170000	0.180000
180000	187072512	0.180000	0.180000	0.190000
190000	197480448	0.190000	0.190000	0.200000
200000	207888384	0.200000	0.200000	0.210000
210000	218296320	0.220000	0.210000	0.220000
220000	228569088	0.230000	0.220000	0.230000
230000	238977024	0.240000	0.240000	0.240000
240000	249384960	0.250000	0.240000	0.250000
250000	259792896	0.260000	0.250000	0.260000
