# Allocations	Memory	CPU Time	Min	Max
10000	2408448	0.000000	0.000000	0.000000
20000	2408448	0.000000	0.000000	0.000000
30000	2408448	0.000000	0.000000	0.000000
40000	2408448	0.000000	0.000000	0.000000
50000	2408448	0.000000	0.000000	0.000000
60000	2408448	0.000000	0.000000	0.000000
70000	2408448	0.000000	0.000000	0.000000
80000	2408448	0.000000	0.000000	0.000000
90000	2408448	0.000000	0.000000	0.000000
100000	2408448	0.000000	0.000000	0.000000
110000	2408448	0.000000	0.000000	0.000000
120000	2408448	0.000000	0.000000	0.000000
130000	2408448	0.000000	0.000000	0.000000
140000	2408448	0.000000	0.000000	0.000000
150000	2408448	0.000000	0.000000	0.000000
160000	2408448	0.000000	0.000000	0.000000
170000	2408448	0.000000	0.000000	0.000000
180000	2408448	0.000000	0.000000	0.000000
190000	2408448	0.000000	0.000000	0.000000
200000	2408448	0.000000	0.000000	0.000000
210000	2408448	0.000000	0.000000	0.000000
220000	2408448	0.000000	0.000000	0.000000
230000	2408448	0.000000	0.000000	0.000000
240000	2408448	0.000000	0.000000	0.000000
250000	2408448	0.000000	0.000000	0.000000
