# Allocations	Memory	CPU Time	Min	Max
10000	1892352	0.000000	0.000000	0.000000
20000	3784704	0.000000	0.000000	0.000000
30000	5677056	0.000000	0.000000	0.000000
40000	7569408	0.000000	0.000000	0.000000
50000	9461760	0.010000	0.000000	0.010000
60000	11354112	0.010000	0.010000	0.020000
70000	13246464	0.020000	0.010000	0.020000
80000	15138816	0.020000	0.010000	0.020000
90000	17031168	0.020000	0.020000	0.030000
100000	18788352	0.030000	0.020000	0.030000
110000	20680704	0.030000	0.030000	0.030000
120000	135168	0.040000	0.040000	0.050000
130000	2428928	0.050000	0.040000	0.050000
140000	26357760	0.040000	0.040000	0.050000
150000	135168	0.060000	0.050000	0.060000
160000	30142464	0.050000	0.050000	0.050000
170000	135168	0.070000	0.060000	0.070000
180000	33927168	0.060000	0.060000	0.060000
190000	35819520	0.060000	0.060000	0.070000
200000	11911168	0.080000	0.080000	0.090000
210000	135168	0.090000	0.080000	0.090000
220000	41496576	0.080000	0.070000	0.080000
230000	43388928	0.080000	0.080000	0.090000
240000	1916928	0.100000	0.100000	0.110000
250000	8568832	0.110000	0.100000	0.110000
