# Allocations	Memory	CPU Time	Min	Max
10000	2015232	0.040000	0.040000	0.050000
20000	4030464	0.250000	0.240000	0.250000
30000	6062080	0.580000	0.570000	0.580000
40000	8077312	1.060000	1.060000	1.070000
50000	10125312	1.690000	1.680000	1.690000
60000	12107776	2.490000	2.480000	2.640000
70000	14106624	3.420000	3.410000	3.420000
80000	16105472	4.470000	4.470000	4.470000
90000	18087936	5.680000	5.670000	5.720000
100000	20070400	7.040000	7.010000	7.230000
110000	22085632	8.540000	8.460000	8.650000
120000	24051712	10.280000	10.200000	10.540000
130000	26083328	12.240000	12.050000	12.590000
140000	28065792	14.590000	14.460000	14.730000
150000	30130176	17.330000	16.930000	17.680000
160000	32178176	20.300000	20.000000	20.650000
170000	34193408	23.670000	23.350000	23.910000
180000	36225024	27.730000	27.420000	27.980000
190000	38256640	31.850000	31.410000	32.270000
200000	40255488	36.620000	36.420000	37.150000
210000	42287104	41.690000	41.350000	42.060000
220000	44285952	47.110000	46.810000	47.790000
230000	46301184	53.060000	52.410000	53.490000
240000	48332800	59.020000	58.610000	59.590000
250000	50364416	65.280000	65.050000	65.840000
