# Allocations	Memory	CPU Time	Min	Max
10000	10469376	0.030000	0.020000	0.030000
20000	20922368	0.100000	0.100000	0.110000
30000	31342592	0.220000	0.210000	0.220000
40000	41861120	0.370000	0.370000	0.380000
50000	52281344	0.570000	0.570000	0.580000
60000	62816256	0.820000	0.810000	0.820000
70000	73220096	1.090000	1.080000	1.100000
80000	83656704	1.390000	1.390000	1.400000
90000	94191616	1.730000	1.730000	1.740000
100000	104710144	2.110000	2.110000	2.120000
110000	115228672	2.540000	2.530000	2.550000
120000	125648896	3.000000	2.990000	3.000000
130000	136167424	3.490000	3.480000	3.520000
140000	146653184	4.050000	4.030000	4.060000
150000	157024256	4.630000	4.620000	4.690000
160000	167460864	5.260000	5.250000	5.270000
170000	177995776	5.950000	5.920000	6.170000
180000	188563456	6.650000	6.640000	6.660000
190000	198983680	7.410000	7.390000	7.430000
200000	209534976	8.200000	8.180000	8.390000
210000	219922432	9.010000	8.990000	9.020000
220000	230342656	9.860000	9.840000	9.940000
230000	240861184	10.760000	10.750000	10.780000
240000	251346944	11.710000	11.690000	11.730000
250000	261816320	12.690000	12.670000	12.930000
