# Allocations	Memory	CPU Time	Min	Max
10000	1867776	0.010000	0.010000	0.010000
20000	3784704	0.090000	0.090000	0.100000
30000	5668864	0.280000	0.280000	0.290000
40000	7553024	0.570000	0.570000	0.570000
50000	9469952	0.940000	0.930000	0.940000
60000	11337728	1.380000	1.370000	1.380000
70000	13221888	1.900000	1.890000	2.020000
80000	15089664	2.490000	2.490000	2.500000
90000	16941056	3.160000	3.160000	3.170000
100000	18776064	3.940000	3.930000	3.940000
110000	20660224	4.740000	4.730000	4.740000
120000	22495232	5.680000	5.680000	5.690000
130000	24395776	6.700000	6.690000	6.870000
140000	26263552	7.770000	7.760000	7.780000
150000	28196864	8.940000	8.930000	8.940000
160000	30097408	10.150000	10.140000	10.190000
170000	31981568	11.470000	11.460000	11.660000
180000	33882112	12.850000	12.830000	12.900000
190000	35782656	14.310000	14.300000	14.320000
200000	37650432	15.890000	15.880000	15.900000
210000	39567360	17.540000	17.530000	17.550000
220000	41418752	19.250000	19.240000	19.420000
230000	43302912	21.070000	21.070000	21.080000
240000	45203456	22.950000	22.940000	22.950000
250000	47104000	24.930000	24.920000	24.940000
