# Allocations	Memory	CPU Time	Min	Max
10000	2408448	0.090000	0.090000	0.100000
20000	2408448	0.140000	0.130000	0.140000
30000	2408448	0.180000	0.180000	0.190000
40000	2408448	0.230000	0.220000	0.230000
50000	2408448	0.270000	0.260000	0.270000
60000	2408448	0.310000	0.310000	0.320000
70000	2408448	0.360000	0.360000	0.360000
80000	2408448	0.400000	0.400000	0.410000
90000	2408448	0.440000	0.440000	0.460000
100000	2408448	0.490000	0.490000	0.510000
110000	2408448	0.530000	0.530000	0.540000
120000	2408448	0.570000	0.570000	0.580000
130000	2408448	0.620000	0.620000	0.640000
140000	2408448	0.670000	0.670000	0.670000
150000	2408448	0.710000	0.700000	0.710000
160000	2408448	0.750000	0.750000	0.760000
170000	2408448	0.800000	0.790000	0.830000
180000	2408448	0.840000	0.840000	0.850000
190000	2408448	0.880000	0.880000	0.890000
200000	2408448	0.930000	0.920000	0.940000
210000	2408448	0.970000	0.960000	0.980000
220000	2408448	1.020000	1.010000	1.030000
230000	2408448	1.060000	1.050000	1.080000
240000	2408448	1.100000	1.090000	1.110000
250000	2408448	1.150000	1.140000	1.160000
